layer,feature,recall,fuzz,combined,explanation
2,33,N/A,N/A,-1.0,Feature not found.
2,34,N/A,N/A,-1.0,Feature not found.
2,35,0.4,0.32,0.36,"The suffix ""-ing"" in nouns related to computing, hosting, and networking."
2,36,0.38,0.8,0.59,"The prefix ""ad"" in various words, often related to technology, education, or proper nouns."
2,37,0.65,0.8,0.73,"Roman numerals (I, II, III, IV, etc.) in text, often used for chapter or verse references."
2,38,0.52,0.45,0.48,"The word ""reunion"" in various contexts, often related to events or gatherings."
2,39,0.82,0.93,0.88,"First-person singular pronouns (""I"") and other first-person and third-person pronouns (""he"", ""they"", ""we"") in sentences, often used to express personal thoughts or opinions."
2,40,0.42,0.35,0.38,"The suffixes ""Laure"", ""Pri"", or ""el"" in Nobel-related titles, such as Nobel Laureate, Nobel Prize, or Pulitzer Prize."
2,41,0.02,0.02,0.02,"The team name ""Broncos"", likely referring to the Denver Broncos, an American football team."
2,42,0.7,0.8,0.75,"The token ""line"" (or ""lines"") in various contexts, often referring to a physical or metaphorical boundary, division, or path."
2,43,N/A,N/A,-1.0,Feature not found.
2,44,0.78,0.75,0.77,"The adjective ""new"" describing a possession, relationship, or situation."
2,45,0.48,0.48,0.48,"The word ""knee"" in various contexts, often related to body parts, health, or clothing."
2,46,N/A,N/A,-1.0,Feature not found.
2,47,0.28,0.37,0.32,"The suffixes ""-ing"" and ""-hing"" in technical or formal writing, often related to diagrams or figures."
2,48,N/A,N/A,-1.0,Feature not found.
2,49,0.38,0.4,0.39,"The verb ""spent"" in the context of time allocation or duration."
4,0,0.52,0.68,0.6,"Suffixes ""-er"", ""-ager"", or ""-itter"" in nouns, often indicating a person's occupation, role, or relationship."
4,1,0.65,0.62,0.63,"The noun ""emergence"", often in an academic or technical context, referring to the process of something coming into existence or prominence."
4,2,0.57,0.47,0.52,"The neuron activates on suffixes or prefixes of words related to ""store"", such as ""-bought"", ""store-"", or ""y"" in ""storey"", indicating a connection to commerce or retail."
4,3,0.75,0.72,0.73,"The infinitive ""to"" in phrases indicating direction or intention."
4,4,0.77,0.83,0.8,"The word ""couple"" indicating a small, indefinite number of items or a pair of people."
4,5,0.83,0.85,0.84,"Punctuation marks (commas, ""of"", ""or"") in numerical or descriptive contexts, often indicating a list or a part of a whole."
4,6,0.28,0.5,0.39,"The prefix ""reat"" or ""reat-"" in a word, often related to wreaths or treats."
4,7,0.45,0.62,0.53,"Brand names or product-related nouns, such as ""Capcom"", ""charger"", ""Panasonic"", or ""joystick"", often in the context of technology or gaming."
4,8,0.53,0.72,0.62,"Honorific suffixes or endings of surnames, such as ""hon"", ""ek"", ""ls"", ""ham"", ""ze"", ""ault"", ""stein"", ""bes"", and ""au"", typically found in names of philosophers, economists, or historical figures."
4,9,0.55,0.57,0.56,"Official names of organizations, countries, or concepts related to Islam, often with a noun or adjective suffix."
4,10,0.63,0.85,0.74,"Verbs that indicate a change, addition, or effect, often in a formal or objective tone."
4,11,0.53,0.5,0.52,"The verb ""are"" in a sentence, often used to connect two nouns or phrases, indicating a state of being or equality."
4,12,0.67,0.65,0.66,"The word ""only"" in a sentence, often indicating a restriction or limitation."
4,13,0.28,0.37,0.32,"The token ""ROM"" in the context of technology and computing, often referring to read-only memory or a custom firmware."
4,14,0.4,0.57,0.48,Period (.) and numbers in the context of US court case citations.
4,15,0.25,0.38,0.32,"The word ""mastery"" in various contexts, often related to expertise, skill, or achievement."
4,16,0.65,0.8,0.73,"The dash (-) punctuation mark, often used to indicate a break or separation in text."
4,17,0.08,0.12,0.1,"The middle name ""Luther"" in a person's full name, particularly in reference to Martin Luther King Jr."
4,18,N/A,N/A,-1.0,Feature not found.
4,19,0.37,0.43,0.4,"The word ""selection"" in technical or formal contexts, often related to electronics, computing, or scientific fields."
4,20,0.25,0.25,0.25,"The words ""audience"" and ""crowd"", referring to a group of people gathered for a specific purpose or event."
4,21,0.23,0.35,0.29,"The proper noun ""Boone"" or ""Charlie"", likely referring to a person's name."
4,22,0.33,0.48,0.41,"The adverbs ""formerly"", ""lately"", and ""afterwards"" indicating a time or state in the past."
4,23,0.63,0.65,0.64,"The auxiliary verb ""should"" indicating obligation, recommendation, or advisability."
4,24,0.33,0.4,0.37,"The names of specific organizations, particularly those related to progress or protection, such as ""Center for American Progress"" and ""Environmental Protection Agency""."
4,25,0.8,0.78,0.79,"Units of time (month, year, decade, century, day, week) or related phrases (today, next)."
4,26,0.63,0.67,0.65,"The token ""User"" in a context related to user profiles, accounts, or authentication."
4,27,0.8,0.67,0.73,"Function words and short phrases that introduce or connect clauses, often indicating a transition or relationship between ideas."
4,28,0.02,0.0,0.01,"The acronym ""BIT"" in EBITDA (Earnings Before Interest, Taxes, Depreciation, and Amortization), a financial metric."
4,29,0.82,0.93,0.88,"Currency symbols, such as ""$"" or ""£"", indicating prices or monetary values."
4,30,0.75,0.82,0.78,"The suffix ""-y"" in words, often indicating an adjective or a proper noun."
4,31,0.5,0.55,0.53,"The suffix ""let"" in a noun, often referring to a pallet."
4,32,0.37,0.63,0.5,"The suffix ""mony"" in words related to formal events or rituals, such as ceremonies."
4,33,0.37,0.55,0.46,"The suffix ""-ings"" in proper nouns, often indicating surnames or place names."
4,34,0.5,0.55,0.53,"The idiomatic phrase ""part and parcel"" or the word ""parcel"" in general, often related to something being an integral component or a package."
4,35,N/A,N/A,-1.0,Feature not found.
4,36,0.7,0.77,0.73,"The preposition ""of"" in a phrase, often indicating possession or belonging."
4,37,0.25,0.35,0.3,"The noun ""refusal"" in various contexts, often indicating a deliberate choice or action of not doing something."
4,38,0.58,0.65,0.62,"The adversative conjunction ""however""."
4,39,0.8,0.82,0.81,"The adverb ""just"" used to convey a sense of simplicity, exactness, or minimalism."
4,40,0.22,0.35,0.28,"The prefix ""Jab"" in various proper nouns, such as names, places, and organizations."
4,41,N/A,N/A,-1.0,Feature not found.
4,42,0.3,0.45,0.38,"The suffixes ""-allergy"" and ""-obia"" in medical or health-related contexts."
4,43,0.7,0.73,0.72,"The colon (:) punctuation mark, often used to indicate a relationship or connection between entities, lists, or explanations."
4,44,0.87,0.78,0.82,"The preposition ""in"" indicating a location, context, or membership."
4,45,N/A,N/A,-1.0,Feature not found.
4,46,0.97,0.85,0.91,"Punctuation marks and short function words (e.g. ""is"", ""by"", ""at"") that connect or separate clauses, phrases, or items in a list."
4,47,0.8,0.82,0.81,"The comparative conjunction ""than""."
4,48,0.75,0.77,0.76,"The phrase ""per"" in financial or statistical contexts, often indicating a rate or ratio."
4,49,0.05,0.02,0.03,"The verb ""ming"" (likely a typo or variation of ""mingling"") indicating social interaction or mixing of people/things."
6,0,0.82,0.92,0.87,"Decimal digits in numerical values, often representing measurements or quantities."
6,1,N/A,N/A,-1.0,Feature not found.
6,2,0.72,0.73,0.72,"Auxiliary verbs and linking verbs (e.g. ""have"", ""is"", ""are"", ""be"") in formal or instructional text, often used to form the present perfect or simple present tenses."
6,3,0.7,0.8,0.75,"The suffix ""-istry"" in various nouns, often related to professions or fields of study."
6,4,0.47,0.47,0.47,"Phrases expressing gratitude or politeness, typically involving words like ""enough"", ""to"", ""gracious"", or ""sufficient"", indicating a sense of appreciation or courtesy."
6,5,0.65,0.83,0.74,"Punctuation marks and special characters, such as colons, dashes, and percentage signs, often used in HTML or formatting codes."
6,6,0.6,0.67,0.63,"The prefix ""Con-"" in various words, often indicating a connection or conjunction."
6,7,0.25,0.55,0.4,"The suffix ""-rans"" or ""-RAN"" in a word, often indicating an action of forcefully taking or searching something."
6,8,0.57,0.57,0.57,"The adjective ""serious"" in a sentence, often used to emphasize genuine intent or commitment."
6,9,0.4,0.5,0.45,"The prefix ""tint"" in words related to coloring or shading."
6,10,0.77,0.8,0.78,"Left parenthesis in formatted text, often indicating a rating, score, or timestamp."
6,11,0.42,0.28,0.35,"The phrase ""up"" in the context of setting or lining up for an action or position, often in sports."
6,12,0.7,0.82,0.76,"Punctuation marks, specifically delimiters and separators (/, ||, ,, #, :, _, �) in structured data, such as lists, tables, or technical notation."
6,13,0.6,0.63,0.62,"Military-related terms, including ranks, branches, and statuses (e.g., reserve, enlisted, active duty)."
6,14,0.5,0.4,0.45,"Prepositions and conjunctions indicating exceptions or contrasts, often used in phrases like ""except for"", ""but"", ""save for"", or ""with only""."
6,15,0.48,0.25,0.37,"The digit ""2"" in various contexts, often related to R2-D2, a Star Wars character, or as part of a model/series number."
6,16,0.52,0.73,0.62,Days of the week.
6,17,0.82,0.93,0.88,"Non-ASCII characters, specifically Cyrillic characters or unknown Unicode characters, which may indicate non-English text or corrupted data."
6,18,0.73,0.8,0.77,"The first name ""Brian"" in a sentence, often referring to a specific person."
6,19,0.43,0.35,0.39,"The word ""what"" in phrases expressing curiosity or inquiry, often in the context of experimentation or exploration."
6,20,0.55,0.57,0.56,"The neuron activates on nouns representing abstract concepts, particularly those related to effects, principles, and hypotheses."
6,21,0.25,0.25,0.25,"The word ""mythology""."
6,22,0.58,0.65,0.62,"The adverb ""exactly"" indicating precise knowledge or understanding."
6,23,N/A,N/A,-1.0,Feature not found.
6,24,0.83,0.87,0.85,"The prefix ""End"" in a word, often indicating the end or conclusion of something."
6,25,N/A,N/A,-1.0,Feature not found.
6,26,0.35,0.42,0.38,"The verb ""influenced"" or its synonyms (""shaped"", ""informed"") in a sentence, indicating a causal relationship between two entities or concepts."
6,27,0.62,0.68,0.65,"The prefix ""Engine"" in various words related to engineering, such as ""Engineering"" or ""Engineer""."
6,28,0.62,0.58,0.6,"The prefix ""pall-"" or ""pal-"" in a word, often related to medical or aesthetic contexts."
6,29,0.18,0.33,0.26,"The suffix ""alty"" in real estate-related words, such as ""Realty""."
6,30,0.72,0.78,0.75,"The token ""area"" or ""areas"" (or ""region"") referring to a geographic location, often in the context of conflict, crisis, or humanitarian issues."
6,31,0.87,0.93,0.9,"The word ""To"" indicating the start of an infinitive phrase, often preceding a verb or action."
6,32,0.78,0.82,0.8,"Periods (.) at the end of sentences, often indicating the end of a quotation or a statement."
6,33,N/A,N/A,-1.0,Feature not found.
6,34,0.48,0.63,0.56,"The suffix ""-ell"" or ""-ellie"" in proper nouns, typically names."
6,35,N/A,N/A,-1.0,Feature not found.
6,36,0.8,0.77,0.78,"Exclamation marks (!) at the end of a sentence or phrase, often indicating excitement or emphasis."
6,37,0.08,0.38,0.23,"The suffix ""ral"" in words related to Australia."
6,38,N/A,N/A,-1.0,Feature not found.
6,39,0.75,0.78,0.77,"Ordinal suffixes (""nd"" or ""rd"") in numbers (e.g., 2nd, 3rd)."
6,40,0.7,0.65,0.68,"The verb ""lived"" in the context of describing a person's past or current residence."
6,41,0.6,0.63,0.62,"The phrase ""with the exception"" or the word ""exception"" in a sentence, indicating a specific exclusion or exemption."
6,42,0.77,0.65,0.71,"Single-digit or double-digit numbers, often appearing in citations or references, typically enclosed in square brackets."
6,43,0.53,0.83,0.68,"Adverbs and adverbial phrases indicating uncertainty, addition, or confirmation, often used in informal writing or spoken language."
6,44,0.17,0.28,0.22,"The neuron activates on the prefixes ""siph"" and ""Cah"", which are parts of specific words, often proper nouns or technical terms."
6,45,0.23,0.37,0.3,"The term ""distribution"" or ""distributions"" in the context of Linux operating systems."
6,46,0.03,0.07,0.05,"The geographical region ""Kashmir"", often referring to the disputed territory between India and Pakistan."
6,47,N/A,N/A,-1.0,Feature not found.
6,48,0.42,0.47,0.44,"The conjunction ""and"" in geographic or anatomical contexts, often connecting two parts of a whole."
6,49,0.12,0.18,0.15,"The name ""Leon"" in various contexts, often referring to a person."
8,0,N/A,N/A,-1.0,Feature not found.
8,1,N/A,N/A,-1.0,Feature not found.
8,2,0.82,0.65,0.73,"The definite article ""the""."
8,3,0.52,0.7,0.61,"Proper nouns, names of specific entities, or common nouns that refer to distinct objects, concepts, or categories."
8,4,0.57,0.68,0.62,"The verb ""wrote"" or ""writes"" indicating authorship or attribution of a text or quote."
8,5,0.37,0.18,0.27,"The adjective ""busy"" describing a location or area with high activity."
8,6,0.3,0.35,0.32,"The adverb ""often"" in first-person sentences, indicating a frequent or habitual action."
8,7,0.53,0.6,0.57,"The adjective ""growing"" in a phrase indicating an increasing quantity or trend."
8,8,N/A,N/A,-1.0,Feature not found.
8,9,0.13,0.13,0.13,"The word ""cannibal"" or its variations, often in the context of discussing or referencing cannibalism."
8,10,0.7,0.77,0.73,"The preposition ""as"" indicating a role, function, or purpose."
8,11,0.68,0.65,0.67,"The verb ""join"" or ""joined"" in the context of entering or becoming a part of a group, chat, or organization."
8,12,0.25,0.45,0.35,"Suffixes ""-piration"", ""-oration"", and ""-synthesis"" in scientific or technical contexts, often related to biological or chemical processes."
8,13,0.45,0.7,0.57,"The token ""ro"" in words, often indicating a prefix or part of a verb."
8,14,0.63,0.87,0.75,"Single-digit numbers, often part of a section or statute reference in legal or legislative text."
8,15,N/A,N/A,-1.0,Feature not found.
8,16,0.68,0.82,0.75,"The token ""plate"" or ""plates"" in various contexts, often related to objects or structures with a flat surface."
8,17,0.63,0.7,0.67,"The prefix ""tre"" in English words, often indicating a sense of three, trembling, or treasure."
8,18,0.62,0.58,0.6,"The term ""binding"" in various scientific, technical, and bibliographic contexts."
8,19,0.42,0.47,0.44,"The country ""Serbia"" when mentioned in a text, often in a list of countries or in a geographical context."
8,20,0.05,0.12,0.08,"The token ""t"" in a URL, specifically in the ""t.co"" domain, indicating a Twitter link."
8,21,0.53,0.62,0.57,"The verb ""raise"" or its variations (""raised"", ""raises"", ""raising"") in various contexts, often indicating physical movement or action."
8,22,N/A,N/A,-1.0,Feature not found.
8,23,0.75,0.75,0.75,"The ""/"" symbol in a date, indicating a separator between month, day, and year."
8,24,0.53,0.72,0.62,"The middle initial ""M"" in a person's full name."
8,25,0.78,0.78,0.78,"The preposition ""of"" and sometimes ""the"" in percentage or proportion phrases, indicating a part-to-whole relationship."
8,26,0.78,0.8,0.79,"The auxiliary verb ""have"" in conditional sentences, typically indicating a hypothetical or uncertain situation."
8,27,0.7,0.67,0.68,"Prepositions (""with"", ""to"", ""between"") indicating interaction or communication between entities."
8,28,0.43,0.35,0.39,"The preposition ""against"" in the context of sports, indicating a team or entity competing or playing a match/game."
8,29,0.68,0.85,0.77,"Single digits or single letters, often in a sequence, typically in the context of codes, IDs, or technical information."
8,30,0.45,0.48,0.47,"Tokens representing file formats, protocols, or technical terms, often in the context of HTTP headers or file paths."
8,31,0.53,0.47,0.5,"The word ""space"" in the context of outer space or a vacuum."
8,32,0.78,0.83,0.81,"The word ""past"" in a sentence, often indicating a time period prior to the present."
8,33,0.5,0.62,0.56,"The ""Rh"" prefix in proper nouns, often indicating a person's name or a geographical location."
8,34,0.5,0.5,0.5,"Period (.) in abbreviations, typically indicating a state or direction (e.g., N.W., N.E., etc.) in addresses or geographic locations."
8,35,0.2,0.45,0.33,"The abbreviation ""AMA"", often referring to the American Medical Association or Ask Me Anything."
8,36,0.43,0.6,0.52,"The neuron is activated by phrases related to discovering or learning information, such as ""find out"" or ""learn"", often in the context of future events or revelations."
8,37,0.48,0.73,0.61,"Adverbs and adverbial phrases indicating degree or manner, often used to modify verbs or adjectives."
8,38,N/A,N/A,-1.0,Feature not found.
8,39,0.7,0.7,0.7,"Honorific titles (""Mr."", ""Mr"") followed by a surname or a title."
8,40,N/A,N/A,-1.0,Feature not found.
8,41,0.68,0.55,0.62,"The preposition ""to"" in idiomatic expressions."
8,42,N/A,N/A,-1.0,Feature not found.
8,43,N/A,N/A,-1.0,Feature not found.
8,44,0.7,0.68,0.69,"Prepositions ""in"" or ""on"" indicating location or presence within a space or vehicle."
8,45,0.37,0.62,0.49,"Multimedia and digital content types (e.g., video, clip, file, shot, scan, recording, copy, edition, cast, diagram, footage)."
8,46,N/A,N/A,-1.0,Feature not found.
8,47,0.65,0.7,0.68,"The auxiliary verbs ""would"" and ""will"" in conditional or hypothetical sentences."
8,48,0.65,0.72,0.68,"The prefix ""nont"" or ""antit"" in a word, often indicating negation or opposition."
8,49,0.15,0.12,0.13,"Two-digit numbers, often percentages or prices, in a numerical context."
10,0,0.33,0.45,0.39,"The suffix ""et"" in proper nouns, typically surnames."
10,1,0.15,0.22,0.18,"The surname ""Benson"" or ""enson"" in various contexts, often referring to a specific person."
10,2,0.25,0.33,0.29,"The first name ""Jeff"" in a professional or formal context, often referring to a person of authority or expertise."
10,3,N/A,N/A,-1.0,Feature not found.
10,4,0.78,0.82,0.8,"Period (.) punctuation mark, often indicating the end of a sentence or a pause in dialogue."
10,5,0.22,0.17,0.19,"The abbreviations ""DR"" (Doctor), ""STR"" (Abstract), ""MIN"" (Min), and ""V"" (Advanced) in formal or official contexts, often related to addresses or administrative information."
10,6,0.83,0.82,0.82,"Linking verbs (""is"", ""'s"", ""was"") in sentences, often used to establish a state or condition."
10,7,0.82,0.78,0.8,"Punctuation marks (commas, dashes) and conjunctions (""then"", ""so"", ""but"") that connect clauses or items in a list, often in explanatory or mathematical contexts."
10,8,0.67,0.57,0.62,"Geographical locations, words related to togetherness, and suffixes (-after, -ies, -fully, -side, -here, -our) indicating a sense of place or unity."
10,9,0.55,0.58,0.57,"The verb ""sing"" in various contexts, often related to music or vocal performance."
10,10,0.57,0.65,0.61,"Part of a brand name, abbreviation, or numeral in a proper noun, often related to technology or media."
10,11,0.47,0.47,0.47,"The token ""email"" or similar tokens (""post"", ""shipping"", ""customer"") in the context of online forms, subscriptions, or login credentials."
10,12,0.3,0.4,0.35,"The names of cities, specifically Osaka and Istanbul, often in the context of geographic locations or events related to those cities."
10,13,0.7,0.73,0.72,"The preposition ""of""."
10,14,0.65,0.67,0.66,"Special characters and symbols, often used in HTML, XML, or other markup languages, such as quotation marks, equals signs, and angle brackets, as well as some common words and phrases that appear in metadata or technical contexts."
10,15,N/A,N/A,-1.0,Feature not found.
10,16,N/A,N/A,-1.0,Feature not found.
10,17,0.53,0.43,0.48,"The preposition ""of"" in phrases indicating family relationships or possession."
10,18,0.62,0.48,0.55,"The pronoun ""this"" preceding a hyperlink or URL, often used to direct the reader to additional information or resources."
10,19,0.45,0.45,0.45,"The word ""sexual"" in the context of abuse, assault, or exploitation."
10,20,0.3,0.17,0.23,"The token ""pouch"", often referring to a container or enclosure."
10,21,0.37,0.28,0.32,"The adjective ""religious"" in various contexts, often related to freedom, expression, or exemptions."
10,22,N/A,N/A,-1.0,Feature not found.
10,23,0.72,0.8,0.76,"Sentence-ending periods (.) in written text, often following a statement of death or a factual event."
10,24,0.65,0.62,0.63,"The word ""This"" in a formal or legal context, often preceding a statement of rights, disclaimers, or copyright information."
10,25,N/A,N/A,-1.0,Feature not found.
10,26,0.62,0.68,0.65,"The definite article ""the"" preceding a proper noun, typically a person's name or title."
10,27,N/A,N/A,-1.0,Feature not found.
10,28,0.67,0.63,0.65,"Period (.) in URLs, often preceding a domain or subdomain."
10,29,N/A,N/A,-1.0,Feature not found.
10,30,0.67,0.7,0.68,The trademark symbol (™).
10,31,0.6,0.67,0.63,"The phrase ""X <<times>>"" where X is a quantity (e.g. few, several, a couple, numerous), indicating repetition or frequency."
10,32,N/A,N/A,-1.0,Feature not found.
10,33,0.83,0.68,0.76,"Punctuation marks ("","", ""."", ""-"", ""–"") and the conjunction ""and"" in text, often used to connect or list items, especially in the context of politics and government."
10,34,0.72,0.8,0.76,"The token ""Score"" in various contexts, often related to ratings, evaluations, or results."
10,35,0.73,0.53,0.63,"Punctuation marks, especially those used to separate clauses or items in a list, as well as proper nouns, particularly names."
10,36,0.63,0.82,0.72,"Ellipsis (...) or ""continue reading"" prompts, indicating a continuation or separation of text, often used to truncate or separate content."
10,37,0.65,0.7,0.68,"Nouns or phrases indicating time, location, or general categories, often used to provide context or specify a particular instance."
10,38,0.65,0.47,0.56,"The infinitive verb ""to"" in instructional or procedural text, often indicating a necessary action."
10,39,0.62,0.55,0.58,"The word ""accounting"" in a formal or technical context, often related to financial reporting, principles, or standards."
10,40,N/A,N/A,-1.0,Feature not found.
10,41,0.57,0.53,0.55,"The colon (:) symbol, often used to indicate a ratio or separation of values, typically in the context of data or statistics."
10,42,0.75,0.87,0.81,"Capital city names, often at the end of a sentence or phrase, indicating a specific location."
10,43,N/A,N/A,-1.0,Feature not found.
10,44,0.72,0.82,0.77,"The comma (,) punctuation mark, often used to separate clauses or items in a list, typically preceding descriptive information about a person or entity."
10,45,0.75,0.82,0.78,"Indefinite pronouns (""some"", ""many"") used to introduce or quantify a group or subset of people."
10,46,0.72,0.7,0.71,"The prefix ""over-"" in a word, often indicating excess or too much of something."
10,47,0.68,0.67,0.68,"Non-ASCII characters, diacritics, or special characters, often in the context of non-English words or brand names."
10,48,0.5,0.55,0.53,"The word ""die"" in various contexts, including as a prefix in compound adjectives (""die-hard""), as a noun referring to a metal stamp or mold, or as part of a phrase (""die cut"")."
10,49,0.62,0.8,0.71,"Past tense or past participle verb forms, often indicating a desired or sought-after state."
