layer,feature,explanation,recall,fuzz,average
6,10,"Left parenthesis in formatted text, often indicating a rating, score, or timestamp.",0.9,0.56,0.73
6,16,Days of the week.,0.81,0.58,0.6950000000000001
6,13,"Military-related terms, including ranks, branches, and statuses (e.g., reserve, enlisted, active duty).",0.86,0.76,0.81
6,11,"The phrase ""up"" in the context of setting or lining up for an action or position, often in sports.",0.75,0.61,0.6799999999999999
6,12,"Punctuation marks, specifically delimiters and separators (/, ||, ,, #, :, _, �) in structured data, such as lists, tables, or technical notation.",0.68,0.57,0.625
6,14,"Prepositions and conjunctions indicating exceptions or contrasts, often used in phrases like ""except for"", ""but"", ""save for"", or ""with only"".",0.56,0.44,0.5
6,15,"The digit ""2"" in various contexts, often related to R2-D2, a Star Wars character, or as part of a model/series number.",0.79,0.53,0.66
6,18,"The first name ""Brian"" in a sentence, often referring to a specific person.",0.94,0.62,0.78
6,17,"Non-ASCII characters, specifically Cyrillic characters or unknown Unicode characters, which may indicate non-English text or corrupted data.",0.93,0.52,0.7250000000000001
6,20,"The neuron activates on nouns representing abstract concepts, particularly those related to effects, principles, and hypotheses.",0.71,0.72,0.715
6,19,"The word ""what"" in phrases expressing curiosity or inquiry, often in the context of experimentation or exploration.",0.76,0.59,0.675
6,21,"The word ""mythology"".",0.65,0.53,0.5900000000000001
6,22,"The adverb ""exactly"" indicating precise knowledge or understanding.",0.85,0.65,0.75
6,24,"The prefix ""End"" in a word, often indicating the end or conclusion of something.",1.0,0.78,0.89
6,29,"The suffix ""alty"" in real estate-related words, such as ""Realty"".",0.61,0.52,0.565
6,27,"The prefix ""Engine"" in various words related to engineering, such as ""Engineering"" or ""Engineer"".",0.87,0.73,0.8
6,26,"The verb ""influenced"" or its synonyms (""shaped"", ""informed"") in a sentence, indicating a causal relationship between two entities or concepts.",0.71,0.69,0.7
6,28,"The prefix ""pall-"" or ""pal-"" in a word, often related to medical or aesthetic contexts.",0.81,0.73,0.77
6,31,"The word ""To"" indicating the start of an infinitive phrase, often preceding a verb or action.",0.9,0.7,0.8
6,32,"Periods (.) at the end of sentences, often indicating the end of a quotation or a statement.",0.43,0.93,0.68
6,30,"The token ""area"" or ""areas"" (or ""region"") referring to a geographic location, often in the context of conflict, crisis, or humanitarian issues.",0.93,0.61,0.77
6,37,"The suffix ""ral"" in words related to Australia.",0.55,0.67,0.6100000000000001
6,34,"The suffix ""-ell"" or ""-ellie"" in proper nouns, typically names.",0.73,0.64,0.685
6,36,"Exclamation marks (!) at the end of a sentence or phrase, often indicating excitement or emphasis.",0.98,0.6,0.79
6,40,"The verb ""lived"" in the context of describing a person's past or current residence.",0.92,0.65,0.785
6,39,"Ordinal suffixes (""nd"" or ""rd"") in numbers (e.g., 2nd, 3rd).",0.83,0.61,0.72
6,42,"Single-digit or double-digit numbers, often appearing in citations or references, typically enclosed in square brackets.",0.9,0.59,0.745
6,41,"The phrase ""with the exception"" or the word ""exception"" in a sentence, indicating a specific exclusion or exemption.",0.86,0.58,0.72
6,43,"Adverbs and adverbial phrases indicating uncertainty, addition, or confirmation, often used in informal writing or spoken language.",0.52,0.7,0.61
6,45,"The term ""distribution"" or ""distributions"" in the context of Linux operating systems.",0.64,0.6,0.62
6,44,"The neuron activates on the prefixes ""siph"" and ""Cah"", which are parts of specific words, often proper nouns or technical terms.",0.48,0.55,0.515
6,49,"The name ""Leon"" in various contexts, often referring to a person.",0.57,0.49,0.53
6,46,"The geographical region ""Kashmir"", often referring to the disputed territory between India and Pakistan.",0.52,0.48,0.5
6,48,"The conjunction ""and"" in geographic or anatomical contexts, often connecting two parts of a whole.",0.75,0.72,0.735
8,2,"The definite article ""the"".",0.69,0.77,0.73
8,5,"The adjective ""busy"" describing a location or area with high activity.",0.72,0.55,0.635
8,7,"The adjective ""growing"" in a phrase indicating an increasing quantity or trend.",0.82,0.74,0.78
8,10,"The preposition ""as"" indicating a role, function, or purpose.",0.92,0.72,0.8200000000000001
8,6,"The adverb ""often"" in first-person sentences, indicating a frequent or habitual action.",0.68,0.59,0.635
8,3,"Proper nouns, names of specific entities, or common nouns that refer to distinct objects, concepts, or categories.",0.33,0.8,0.5650000000000001
8,11,"The verb ""join"" or ""joined"" in the context of entering or becoming a part of a group, chat, or organization.",0.91,0.71,0.81
8,4,"The verb ""wrote"" or ""writes"" indicating authorship or attribution of a text or quote.",0.84,0.61,0.725
8,9,"The word ""cannibal"" or its variations, often in the context of discussing or referencing cannibalism.",0.58,0.58,0.58
8,12,"Suffixes ""-piration"", ""-oration"", and ""-synthesis"" in scientific or technical contexts, often related to biological or chemical processes.",0.65,0.59,0.62
8,13,"The token ""ro"" in words, often indicating a prefix or part of a verb.",0.53,0.86,0.6950000000000001
8,14,"Single-digit numbers, often part of a section or statute reference in legal or legislative text.",0.88,0.84,0.86
8,18,"The term ""binding"" in various scientific, technical, and bibliographic contexts.",0.87,0.79,0.8300000000000001
8,17,"The prefix ""tre"" in English words, often indicating a sense of three, trembling, or treasure.",0.88,0.68,0.78
8,16,"The token ""plate"" or ""plates"" in various contexts, often related to objects or structures with a flat surface.",0.91,0.63,0.77
8,20,"The token ""t"" in a URL, specifically in the ""t.co"" domain, indicating a Twitter link.",0.53,0.51,0.52
8,19,"The country ""Serbia"" when mentioned in a text, often in a list of countries or in a geographical context.",0.75,0.6,0.675
8,24,"The middle initial ""M"" in a person's full name.",0.82,0.63,0.725
8,23,"The ""/"" symbol in a date, indicating a separator between month, day, and year.",0.95,0.59,0.77
8,21,"The verb ""raise"" or its variations (""raised"", ""raises"", ""raising"") in various contexts, often indicating physical movement or action.",0.82,0.63,0.725
8,27,"Prepositions (""with"", ""to"", ""between"") indicating interaction or communication between entities.",0.86,0.78,0.8200000000000001
8,26,"The auxiliary verb ""have"" in conditional sentences, typically indicating a hypothetical or uncertain situation.",0.91,0.74,0.825
8,25,"The preposition ""of"" and sometimes ""the"" in percentage or proportion phrases, indicating a part-to-whole relationship.",0.97,0.79,0.88
8,31,"The word ""space"" in the context of outer space or a vacuum.",0.82,0.6,0.71
8,28,"The preposition ""against"" in the context of sports, indicating a team or entity competing or playing a match/game.",0.76,0.41,0.585
8,29,"Single digits or single letters, often in a sequence, typically in the context of codes, IDs, or technical information.",0.91,0.59,0.75
8,30,"Tokens representing file formats, protocols, or technical terms, often in the context of HTTP headers or file paths.",0.65,0.55,0.6000000000000001
8,32,"The word ""past"" in a sentence, often indicating a time period prior to the present.",0.97,0.76,0.865
8,33,"The ""Rh"" prefix in proper nouns, often indicating a person's name or a geographical location.",0.74,0.57,0.655
8,34,"Period (.) in abbreviations, typically indicating a state or direction (e.g., N.W., N.E., etc.) in addresses or geographic locations.",0.74,0.74,0.74
8,35,"The abbreviation ""AMA"", often referring to the American Medical Association or Ask Me Anything.",0.62,0.65,0.635
8,41,"The preposition ""to"" in idiomatic expressions.",0.73,0.71,0.72
8,39,"Honorific titles (""Mr."", ""Mr"") followed by a surname or a title.",0.92,0.68,0.8
8,37,"Adverbs and adverbial phrases indicating degree or manner, often used to modify verbs or adjectives.",0.55,0.58,0.565
8,44,"Prepositions ""in"" or ""on"" indicating location or presence within a space or vehicle.",0.86,0.85,0.855
8,36,"The neuron is activated by phrases related to discovering or learning information, such as ""find out"" or ""learn"", often in the context of future events or revelations.",0.76,0.62,0.69
8,47,"The auxiliary verbs ""would"" and ""will"" in conditional or hypothetical sentences.",0.89,0.62,0.755
8,45,"Multimedia and digital content types (e.g., video, clip, file, shot, scan, recording, copy, edition, cast, diagram, footage).",0.66,0.63,0.645
8,49,"Two-digit numbers, often percentages or prices, in a numerical context.",0.47,0.51,0.49
8,48,"The prefix ""nont"" or ""antit"" in a word, often indicating negation or opposition.",0.89,0.57,0.73
10,9,"The verb ""sing"" in various contexts, often related to music or vocal performance.",0.83,0.73,0.78
10,1,"The surname ""Benson"" or ""enson"" in various contexts, often referring to a specific person.",0.59,0.63,0.61
10,10,"Part of a brand name, abbreviation, or numeral in a proper noun, often related to technology or media.",0.72,0.65,0.685
10,2,"The first name ""Jeff"" in a professional or formal context, often referring to a person of authority or expertise.",0.65,0.52,0.585
10,6,"Linking verbs (""is"", ""'s"", ""was"") in sentences, often used to establish a state or condition.",0.76,0.87,0.815
10,7,"Punctuation marks (commas, dashes) and conjunctions (""then"", ""so"", ""but"") that connect clauses or items in a list, often in explanatory or mathematical contexts.",0.63,0.67,0.65
10,0,"The suffix ""et"" in proper nouns, typically surnames.",0.7,0.65,0.675
10,5,"The abbreviations ""DR"" (Doctor), ""STR"" (Abstract), ""MIN"" (Min), and ""V"" (Advanced) in formal or official contexts, often related to addresses or administrative information.",0.57,0.6,0.585
10,4,"Period (.) punctuation mark, often indicating the end of a sentence or a pause in dialogue.",0.55,0.99,0.77
10,8,"Geographical locations, words related to togetherness, and suffixes (-after, -ies, -fully, -side, -here, -our) indicating a sense of place or unity.",0.78,0.66,0.72
10,13,"The preposition ""of"".",0.74,0.64,0.69
10,17,"The preposition ""of"" in phrases indicating family relationships or possession.",0.76,0.58,0.6699999999999999
10,19,"The word ""sexual"" in the context of abuse, assault, or exploitation.",0.77,0.65,0.71
10,12,"The names of cities, specifically Osaka and Istanbul, often in the context of geographic locations or events related to those cities.",0.68,0.56,0.6200000000000001
10,11,"The token ""email"" or similar tokens (""post"", ""shipping"", ""customer"") in the context of online forms, subscriptions, or login credentials.",0.78,0.72,0.75
10,20,"The token ""pouch"", often referring to a container or enclosure.",0.68,0.54,0.6100000000000001
10,18,"The pronoun ""this"" preceding a hyperlink or URL, often used to direct the reader to additional information or resources.",0.87,0.73,0.8
10,21,"The adjective ""religious"" in various contexts, often related to freedom, expression, or exemptions.",0.72,0.55,0.635
10,23,"Sentence-ending periods (.) in written text, often following a statement of death or a factual event.",0.75,0.92,0.835
10,14,"Special characters and symbols, often used in HTML, XML, or other markup languages, such as quotation marks, equals signs, and angle brackets, as well as some common words and phrases that appear in metadata or technical contexts.",0.77,0.48,0.625
10,30,The trademark symbol (™).,0.9,0.5,0.7
10,26,"The definite article ""the"" preceding a proper noun, typically a person's name or title.",0.87,0.73,0.8
10,28,"Period (.) in URLs, often preceding a domain or subdomain.",0.84,0.76,0.8
10,24,"The word ""This"" in a formal or legal context, often preceding a statement of rights, disclaimers, or copyright information.",0.89,0.45,0.67
10,34,"The token ""Score"" in various contexts, often related to ratings, evaluations, or results.",0.93,0.62,0.775
10,31,"The phrase ""X <<times>>"" where X is a quantity (e.g. few, several, a couple, numerous), indicating repetition or frequency.",0.86,0.72,0.79
10,33,"Punctuation marks ("","", ""."", ""-"", ""–"") and the conjunction ""and"" in text, often used to connect or list items, especially in the context of politics and government.",0.64,0.49,0.565
10,35,"Punctuation marks, especially those used to separate clauses or items in a list, as well as proper nouns, particularly names.",0.64,0.58,0.61
10,36,"Ellipsis (...) or ""continue reading"" prompts, indicating a continuation or separation of text, often used to truncate or separate content.",0.88,0.69,0.7849999999999999
10,37,"Nouns or phrases indicating time, location, or general categories, often used to provide context or specify a particular instance.",0.47,0.62,0.5449999999999999
10,38,"The infinitive verb ""to"" in instructional or procedural text, often indicating a necessary action.",0.83,0.66,0.745
10,39,"The word ""accounting"" in a formal or technical context, often related to financial reporting, principles, or standards.",0.87,0.71,0.79
10,41,"The colon (:) symbol, often used to indicate a ratio or separation of values, typically in the context of data or statistics.",0.78,0.64,0.71
10,42,"Capital city names, often at the end of a sentence or phrase, indicating a specific location.",0.89,0.9,0.895
10,46,"The prefix ""over-"" in a word, often indicating excess or too much of something.",0.93,0.74,0.835
10,45,"Indefinite pronouns (""some"", ""many"") used to introduce or quantify a group or subset of people.",0.95,0.81,0.88
10,44,"The comma (,) punctuation mark, often used to separate clauses or items in a list, typically preceding descriptive information about a person or entity.",0.81,0.87,0.8400000000000001
10,49,"Past tense or past participle verb forms, often indicating a desired or sought-after state.",0.45,0.86,0.655
10,47,"Non-ASCII characters, diacritics, or special characters, often in the context of non-English words or brand names.",0.85,0.42,0.635
10,48,"The word ""die"" in various contexts, including as a prefix in compound adjectives (""die-hard""), as a noun referring to a metal stamp or mold, or as part of a phrase (""die cut"").",0.8,0.65,0.7250000000000001
