text,feature,predicted_quantile,activation,order,expected_quantile,predicted_activation
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",3731,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",2203,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",28856,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",26141,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",5429,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",20195,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",26745,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",7437,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",6655,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",5942,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",26363,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",18186,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",1198,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",16017,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",28042,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",20422,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",1191,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",24303,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",1807,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",14302,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",27168,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",1838,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",10910,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",13784,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",13181,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",31377,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",17235,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",24874,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",11896,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",32244,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",21023,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",18915,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",17662,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",29401,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",11022,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",13533,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",10098,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",15023,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",6213,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",15349,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",8523,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",3514,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",14653,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",7041,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",5268,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",15161,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",26541,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",8174,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",30423,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",30920,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",18355,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",13408,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",11086,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",1043,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",21087,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",6991,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",19257,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",13064,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",27208,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",22715,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",7828,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",25750,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",17844,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",9676,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",13932,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",12940,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",8109,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",14717,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",24017,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",3899,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",23020,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",9666,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",28295,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",14797,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",23933,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",11007,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",16089,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",31653,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",31649,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",14016,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",6203,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",15265,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",20135,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",29783,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",16309,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",5390,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",12173,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",21435,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",24800,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",1520,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",19360,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",17832,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",286,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",21393,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",14547,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",5495,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",2310,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",6078,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",31340,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",22415,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",8746,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",16036,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",22346,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",5387,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",22128,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",11392,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",19417,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",14489,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",23039,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",5631,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",30358,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",29098,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",5314,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",6726,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",7655,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",22553,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",24821,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",9345,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",17511,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",29831,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",18403,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",17325,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",14886,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",29373,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",27882,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",20584,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",10310,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",11231,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",26856,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",2865,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",21961,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",29559,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",15280,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",26098,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",27696,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",30810,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",29985,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",17105,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",31299,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",10881,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",31711,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",28365,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",26668,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",20544,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",15385,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",23729,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",17279,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",26067,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",11861,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",6362,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",11671,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",29639,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",12714,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",11960,-1.0,-1.0,-1,-1.0,-1.0
"n**2 and give f.
48
Express -s + 0 + 0 + (-6 + 4 + 1)*(s + s - 6*<<s>>",9264,-1.0,-1.0,-1,-1.0,-1.0
